Country Name,Country Code,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),GDP (constant 2015 US$),Gross_Capital_gdp_pct,Gross_Capital_growth,Gross capital formation (constant 2015 US$),"Population, total",energy_usage,GDP per capita,Vulnerability Score
Afghanistan,AFG,0.4255667106240237,2.0,526.5154211335213,98.0,18997359069.38645,24.16336683296002,6.954886679216756,2446039432.519807,33312143.5,17539357263.762794,570.3579881086488,0.5977773407443543
Albania,ALB,0.4422803104006987,0.0,977.7948316736683,79.71090069713189,11263273450.915674,25.746870566047715,-1.233273092215235,2900029634.1568456,2884903.5,2820132423.741054,3904.282158872364,0.4396348591446678
Algeria,DZA,0.8662503753637955,0.05596092909677607,1232.5713391391257,98.98895836008026,184586974127.0291,49.33904594791006,7.1628729550057955,91144396357.28592,39612280.0,48790166663.24987,4659.580259564756,0.38111721963233275
American Samoa,ASM,0.0001509283850662798,2.0,2186.9392427432554,98.0,662725190.8396947,23.736129744028798,2.849944870215566,14815472727.91158,53172.0,116283933.41514437,12465.249868283496,0.41315972753480973
Andorra,AND,0.22260073458433552,2.0,5372.539131858141,98.0,2770158700.6196656,22.991442074339,3.8782272167837846,67051555765.19023,72955.5,391956278.6342767,37977.77956932866,0.34479028761890707
Angola,AGO,0.35513141524849867,0.0,843.6760534835794,73.15279650486643,90073462177.1499,30.85147501432024,0.7724300888115323,27803165078.629047,27659283.5,23486753244.07966,3257.3188603046533,0.5010569212411394
Antigua and Barbuda,ATG,0.19973465129057535,2.0,2186.9392427432554,98.0,1427514652.2158532,23.736129744028798,2.849944870215566,14815472727.91158,89087.0,194827856.3182684,16023.620574819875,0.480502261333241
Argentina,ARG,0.3291519263314034,1.9333792877747278,2100.0665098901504,92.86120373984457,586843430174.454,17.166792945311734,-0.8334107820018204,100734599988.19704,43250541.5,90848687850.00972,13567.879207005239,0.39282650855531875
Armenia,ARM,0.5477522906742929,0.051450764986412656,1064.4320986830492,86.28093285686909,10389719882.520813,21.006785406247758,-1.9499999981585603,2182094157.6737757,3009200.0,3202708643.421717,3452.743013017965,0.37601562635655567
Aruba,ABW,0.15186970109008585,2.0,5372.539131858141,98.0,2972203967.808077,22.32519029499289,3.8782272167837846,663623289.039934,107356.5,576776997.3093286,27686.53433753104,0.34479028761890707
Australia,AUS,0.29803921130880295,7.92127185155869,5409.249040138981,91.50623288283168,1336815684763.8628,26.500476566432024,3.8782272167837846,354229677419.3111,23645840.5,127918928000.0,56533.439920493525,0.3209835264922839
Austria,AUT,0.17673413150262088,15.496587144861754,3781.813661456694,65.23748922780976,377104192569.9139,23.930397860886522,2.0050882990324794,90244529372.13405,8594527.5,32503792000.0,43877.03135269666,0.302794439623984
Azerbaijan,AZE,0.6559091166298895,0.390576759655748,1844.508705578481,98.18299501327776,52789056407.245186,27.71180345154596,1.4787346074224246,14629378989.899908,9592210.0,17712478249.755726,5503.342671144024,0.4260144674223502
"Bahamas, The",BHS,0.09714464531625402,2.0,5372.539131858141,98.0,11614303761.333323,28.41610480401528,-2.53120746058363,3298342605.37442,383822.0,2062098714.6680558,30259.490534352943,0.45932245107957026
Bahrain,BHR,1.0394529612605488,0.0,8071.251788144531,98.68292358706368,32125453940.15446,29.568466748966195,-1.2150514518718722,9498250143.524097,1342442.0,10759947284.123058,23934.777122393407,0.43958293959808253
Bangladesh,BGD,0.42811207672461216,0.26727830580500067,375.38131364830286,85.88446897250428,189146168944.2645,28.732282479282155,8.48692603060227,54355276645.31196,158674054.0,59670447806.392204,1191.8970057207298,0.5536611827584779
Barbados,BRB,0.13072369604661194,2.0,5372.539131858141,98.0,5310619735.844226,22.991442074339,3.8782272167837846,67051555765.19023,278669.0,1497160107.3357766,19057.206835736808,0.36370130097105247
Belarus,BLR,1.0688699552247907,0.4379966952749382,2561.758394792636,95.22018750826463,57578924791.463936,31.93808709062201,-11.83681570025955,18422243486.34969,9454795.5,24218547691.48819,6089.9991816037455,0.3564150038994353
Belgium,BEL,0.21857337287296383,18.507522877513146,4698.004133594647,74.26164459466551,457695857106.47125,23.29033180353492,4.22594812691225,106599956622.24768,11241626.5,52812874999.99999,40713.85901058209,0.3474367939429587
Belize,BLZ,0.10381729418461726,2.0,2186.9392427432554,98.0,2162393658.3702693,16.8912517452372,15.671889387626559,365193379.9295375,352628.0,771176011.2900686,6131.986859367712,0.4736739643543296
Benin,BEN,0.49893723157138165,0.7309941520467836,457.61203718350527,67.36229066267238,11288680556.85262,19.99468885686797,11.588901663255845,2257869826.9256635,11195342.5,5134515870.539297,1008.4259375345007,0.5798480364380225
Bermuda,BMU,0.037899525280814146,2.0,5372.539131858141,98.0,6628935606.518642,11.993591413088037,2.5519544352163237,795021588.8055,63496.5,341137430.98603046,104398.67471454552,0.34479028761890707
Bhutan,BTN,0.5717469836950476,2.0,1147.1338237513926,98.0,2119502954.8029096,56.47153242351222,4.162353689802337,1196888184.9371521,736878.5,845298251.3451906,2875.9298293468455,0.5338538923032765
